,base_market,quote_market,hedge_ratio,half_life
0,AAVE-USD,UMA-USD,41.08703159961179,6.0
1,AAVE-USD,ADA-USD,218.8866986743414,5.0
2,AAVE-USD,AVAX-USD,4.436690028305209,3.0
3,ALGO-USD,ETH-USD,0.00016196569842147267,1.0
4,ALGO-USD,UMA-USD,0.12738086665367646,6.0
5,ALGO-USD,NEAR-USD,0.1076454743885597,3.0
6,ALGO-USD,ZRX-USD,1.0618586764290396,8.0
7,ETH-USD,UMA-USD,785.1427863422127,1.0
8,ETH-USD,1INCH-USD,2896.66501659093,1.0
9,ETH-USD,SOL-USD,71.24025448291819,1.0
10,ETH-USD,ADA-USD,4182.655048303654,1.0
11,ETH-USD,ENJ-USD,3465.1549514438693,1.0
12,ETH-USD,CRV-USD,1493.8918520215389,2.0
13,ETH-USD,SUSHI-USD,1169.2466581385568,1.0
14,ETH-USD,CELO-USD,2038.3191828569768,1.0
15,ETH-USD,XTZ-USD,1432.9225563579444,1.0
16,ETH-USD,BTC-USD,0.06988311208255141,1.0
17,ETH-USD,COMP-USD,30.84200739188721,1.0
18,ETH-USD,YFI-USD,0.22107979320329174,1.0
19,ETH-USD,DOT-USD,242.15449689996177,1.0
20,ETH-USD,NEAR-USD,663.3124884050948,2.0
21,ETH-USD,ZRX-USD,6543.5551653201455,1.0
22,ETH-USD,UNI-USD,240.63808580690875,1.0
23,ETH-USD,ETC-USD,73.7502417877393,1.0
24,ETH-USD,BCH-USD,12.318284185906476,1.0
25,ETH-USD,AVAX-USD,84.77846925998597,1.0
26,ETH-USD,XLM-USD,18279.255819379043,1.0
27,ETH-USD,RUNE-USD,924.1270358676686,1.0
28,UMA-USD,CELO-USD,2.596032148737436,10.0
29,UMA-USD,XTZ-USD,1.8247207687420182,7.0
30,UMA-USD,COMP-USD,0.0392840477541414,4.0
31,UMA-USD,DOT-USD,0.3084738726146657,9.0
32,UMA-USD,ZRX-USD,8.333457411186519,6.0
33,UMA-USD,UNI-USD,0.30643984318964435,8.0
34,UMA-USD,ETC-USD,0.0938986046043056,11.0
35,UMA-USD,BCH-USD,0.015687296779004916,9.0
36,UMA-USD,XLM-USD,23.272741686162895,16.0
37,1INCH-USD,BCH-USD,0.004251415702036877,4.0
38,SOL-USD,BCH-USD,0.17273424630671497,16.0
39,ENJ-USD,CELO-USD,0.5881075609951792,10.0
40,ENJ-USD,XTZ-USD,0.41327539603093566,15.0
41,ENJ-USD,BTC-USD,2.0154674978948928e-05,3.0
42,ENJ-USD,DOT-USD,0.069862253977259,15.0
43,ENJ-USD,EOS-USD,0.42126801067649294,21.0
44,ENJ-USD,ZRX-USD,1.8876655534818676,8.0
45,ENJ-USD,UNI-USD,0.06940186816725563,16.0
46,ENJ-USD,BCH-USD,0.003552941327789099,14.0
47,ENJ-USD,XLM-USD,5.271196639396662,22.0
48,SNX-USD,RUNE-USD,1.473239819407298,7.0
49,SUSHI-USD,XTZ-USD,1.2247107490249136,10.0
50,SUSHI-USD,YFI-USD,0.00018895488348468886,11.0
51,SUSHI-USD,ETC-USD,0.06303473203866847,12.0
52,SUSHI-USD,XMR-USD,0.00855463135517577,21.0
53,SUSHI-USD,AVAX-USD,0.07248352048830269,2.0
54,FIL-USD,MATIC-USD,4.399614706162728,17.0
55,CELO-USD,BTC-USD,3.425207380839288e-05,3.0
56,CELO-USD,DOT-USD,0.11873330622736754,11.0
57,CELO-USD,ZRX-USD,3.208055093346813,8.0
58,CELO-USD,UNI-USD,0.11794319284983337,13.0
59,ATOM-USD,BTC-USD,0.0005884401005269835,11.0
60,ATOM-USD,DOGE-USD,158.2769874772951,6.0
61,XTZ-USD,COMP-USD,0.02152098582487783,6.0
62,XTZ-USD,ETC-USD,0.051456239728998786,8.0
63,XTZ-USD,BCH-USD,0.008595245082701344,10.0
64,XTZ-USD,AVAX-USD,0.05914911605828085,3.0
65,XTZ-USD,XLM-USD,12.753650065496336,14.0
66,LINK-USD,DOT-USD,1.0810288104282266,8.0
67,LINK-USD,EOS-USD,6.52104243431713,6.0
68,YFI-USD,XMR-USD,45.27949950360597,14.0
69,YFI-USD,RUNE-USD,4180.423355189405,5.0
70,DOT-USD,UNI-USD,0.9925875781725894,18.0
71,DOT-USD,BCH-USD,0.050811715846792,17.0
72,NEAR-USD,ZRX-USD,9.820965265191983,3.0
73,NEAR-USD,UNI-USD,0.3610859488394511,4.0
74,NEAR-USD,ETC-USD,0.11063163230225011,4.0
75,NEAR-USD,MATIC-USD,1.8443042723852598,4.0
76,NEAR-USD,BCH-USD,0.018483567022849763,4.0
77,NEAR-USD,AVAX-USD,0.12719122066800784,3.0
78,NEAR-USD,XLM-USD,27.418901686420888,4.0
79,NEAR-USD,RUNE-USD,1.3866550303881575,5.0
80,ZRX-USD,UNI-USD,0.036761237223649365,9.0
81,ZRX-USD,ETC-USD,0.011264527940960107,14.0
82,UNI-USD,BCH-USD,0.0511842599932041,8.0
83,ETC-USD,BCH-USD,0.1670010939035509,12.0
84,ETC-USD,XLM-USD,247.84661985551716,4.0
85,XMR-USD,AVAX-USD,8.461811532865715,5.0
86,XMR-USD,RUNE-USD,92.28892338167485,7.0
87,AVAX-USD,XLM-USD,215.38472652931563,3.0
88,AVAX-USD,RUNE-USD,10.891570193918152,3.0
